epoch,accuracy,loss,val_accuracy,val_loss
0,0.528124988079071,0.697892963886261,0.46875,0.6912350058555603
1,0.6109374761581421,0.675080418586731,0.515625,0.6584841012954712
2,0.6953125,0.6096261739730835,0.6875,0.5964568853378296
3,0.7406250238418579,0.5234827399253845,0.6875,0.5828054547309875
4,0.7437499761581421,0.49264827370643616,0.734375,0.5105096101760864
5,0.778124988079071,0.44279351830482483,0.75,0.5266143083572388
6,0.7890625,0.428058922290802,0.6875,0.6662101745605469
7,0.8203125,0.3992028832435608,0.71875,0.623771607875824
8,0.8531249761581421,0.34493425488471985,0.734375,0.5521051287651062
9,0.8890625238418579,0.30124419927597046,0.734375,0.6002172231674194
10,0.8968750238418579,0.27073460817337036,0.703125,0.7006580829620361
11,0.901562511920929,0.24644438922405243,0.71875,0.717502236366272
12,0.9390624761581421,0.19973251223564148,0.71875,0.5930427312850952
13,0.953125,0.16368071734905243,0.796875,0.6104082465171814
14,0.971875011920929,0.11778159439563751,0.765625,0.7268517017364502
15,0.989062488079071,0.08269898593425751,0.765625,0.7673782706260681
16,0.9937499761581421,0.06461338698863983,0.765625,0.6880789995193481
17,0.9921875,0.06235019117593765,0.796875,0.7487796545028687
18,0.9937499761581421,0.053770530968904495,0.734375,0.7673516869544983
19,0.996874988079071,0.053775854408741,0.765625,0.7488068342208862
20,0.9984375238418579,0.04644257575273514,0.75,0.7483238577842712
21,0.9984375238418579,0.03790917992591858,0.734375,0.8569927215576172
22,1.0,0.03139787167310715,0.765625,0.7400842905044556
23,1.0,0.03244081139564514,0.765625,0.7161253690719604
24,1.0,0.026538336649537086,0.796875,0.6618714332580566
25,1.0,0.024906126782298088,0.8125,0.7055014371871948
26,1.0,0.0243275985121727,0.828125,0.6704707145690918
27,1.0,0.02320265956223011,0.765625,0.7523216009140015
28,1.0,0.022122804075479507,0.796875,0.7026765942573547
29,1.0,0.02120104432106018,0.78125,0.6897589564323425
