epoch,accuracy,loss,val_accuracy,val_loss
0,0.6937500238418579,0.5845310091972351,0.796875,0.5284812450408936
1,0.823437511920929,0.4061635136604309,0.75,0.5949801206588745
2,0.871874988079071,0.33590593934059143,0.78125,0.503380537033081
3,0.9140625,0.25251471996307373,0.828125,0.4629996418952942
4,0.9703124761581421,0.144841268658638,0.78125,0.7515504360198975
5,0.9921875,0.09302908927202225,0.84375,0.4691525995731354
6,1.0,0.07010196894407272,0.8125,0.493768572807312
7,1.0,0.05463100224733353,0.796875,0.5104514360427856
8,1.0,0.04757317155599594,0.8125,0.5071753263473511
9,1.0,0.04247444123029709,0.78125,0.5351084470748901
10,1.0,0.03860772028565407,0.8125,0.5091358423233032
11,1.0,0.03590304031968117,0.8125,0.48642680048942566
12,1.0,0.03377731516957283,0.828125,0.5073626637458801
13,1.0,0.032130397856235504,0.8125,0.5476881265640259
14,1.0,0.030704712495207787,0.796875,0.5495309829711914
15,1.0,0.028857942670583725,0.828125,0.5189182162284851
16,1.0,0.02767006680369377,0.8125,0.5370258092880249
17,1.0,0.02660674788057804,0.828125,0.533882200717926
18,1.0,0.025390703231096268,0.8125,0.527519941329956
19,1.0,0.024563079699873924,0.796875,0.567578911781311
20,1.0,0.023525629192590714,0.828125,0.5115084052085876
21,1.0,0.022668153047561646,0.828125,0.5264885425567627
22,1.0,0.021791210398077965,0.765625,0.6224532127380371
23,1.0,0.021129898726940155,0.8125,0.5045292973518372
24,1.0,0.020586837083101273,0.78125,0.5562890768051147
25,1.0,0.019829848781228065,0.78125,0.5974854230880737
26,1.0,0.019295094534754753,0.796875,0.5949610471725464
27,1.0,0.0187368281185627,0.78125,0.5696296095848083
28,1.0,0.018178101629018784,0.78125,0.639526903629303
29,1.0,0.017673764377832413,0.78125,0.5990409851074219
